se_id,variable_name,var_description,range,default_values,deviant_values,structural_equation
symm_od,MD,Match lit,"0,1",,,
symm_od,L,Lightning strike,"0,1",,,
symm_od,FF,Forest fire,"0,1",,,MD or L
conj,MD,Match lit,"0,1",,,
conj,L,Lightning strike,"0,1",,,
conj,FF,Forest fire,"0,1",,,MD and L
late_preemption,ST,Suzy throws,"0,1",,,
late_preemption,SH,Suzy hits,"0,1",,,ST
late_preemption,BT,Billy throws,"0,1",,,
late_preemption,BH,Billy hits,"0,1",,,BT and not SH
late_preemption,BS,Bottle shatters,"0,1",,,SH or BH
prevention,A,Assassin puts poison in coffee,"0,1",,,
prevention,B,Bodyguard puts antidote in coffee,"0,1",,,
prevention,D,Victim dies,"0,1",,,A and not B
loader,A,A loads,"0,1",,,
loader,B,B shoots,"0,1",,,
loader,C,C loads and shoots,"0,1",,,
loader,D,D dies,"0,1",,,(A and B) or C
three_switches,A,Switch A,"-1,0,1",,,
three_switches,B,Switch B,"-1,0,1",,,
three_switches,C,Switch C,"-1,0,1",,,
three_switches,L,Lamp turns on,"-1,0,1",,,(A==B) or (A==C) or (B==C)
ff_mechanisms,MD,Match lit,"0,1",,,
ff_mechanisms,L,Lightning strike,"0,1",,,
ff_mechanisms,A,Mechanism A,"0,1",,,L and not MD
ff_mechanisms,B,Mechanism B,"0,1",,,not L and MD
ff_mechanisms,C,Mechanism C,"0,1",,,L and MD
ff_mechanisms,FF,Forest fire ,"0,1",,,A or B or C
campfire_vote,C,Cowboy vote,"0,1",,,
campfire_vote,R,Ranger vote,"0,1",,,
campfire_vote,W,Wrangler vote,"0,1",,,
campfire_vote,H1,Hand 1 vote,"0,1",,,
campfire_vote,H2,Hand 2 vote,"0,1",,,
campfire_vote,O,Outcome,"0,1",,,(C and R) or (H1 and H2 and R) or (H1 and R and W) or (H2 and R and W) or (C and H1 and H2 and not W) or (C and H1 and W and not H2) or (C and H2 and W and not H1) or (R and not H1 and not H2 and not W)
voting,A,A shoots,"0,1",,,
voting,B,B shoots,"0,1",,,
voting,C,C shoots,"0,1",,,
voting,D,D shoots,"0,1",,,
voting,E,E shoots,"0,1",,,
voting,F,target falls over,"0,1",,,(A+B+C+D+E) >= 3
switch1,F,Flipper flips switch,"0,1",,,
switch1,T,Train goes on left/right track,"0,1",,,F
switch1,A,Train arrives,"0,1",,,T or not T
switch2,F,Flipper flips switch,"0,1",,,
switch2,LB,Left track blocked,"0,1",,,
switch2,RB,Right track blocked,"0,1",,,
switch2,A,Train arrives,"0,1",,,(not F and not LB) or (F and not RB)
switch3,F,Flipper flips switch,"0,1",,,
switch3,LT,Train goes on left track,"0,1",,,not F
switch3,RT,Train goes on right track,"0,1",,,F
switch3,A,Train arrives,"0,1",,,LT or RT
early_preemption_iso,A,Antidote put in coffee,"0,1",,,
early_preemption_iso,B,Buddy puts poison in coffee,"0,1",,,A
early_preemption_iso,D,Victim dies,"0,1",,,not A and B
voting_machine,V1,Vote 1,"0,1",,,
voting_machine,V2,Vote 2,"0,1",,,
voting_machine,M,Machine,"0,1,2",,,V1 + V2
voting_machine,P,Measure passes,"0,1",,,M >= 1
